DIPS,81360.18181818182
HORS,9104.454545454546
PLAN,45902.6
CAVI,75193.36363636363
RE03,37158.36363636364
WNCH,69678.54545454546
1500,46387.545454545456
MCFL,517.0909090909091
AVEQ,5154.090909090909
Y,45168.818181818184
SOSP,46034.181818181816
STRO,2816.0
ARFT,55824.454545454544
MLF2,35258.454545454544
BIAN,14979.454545454546
ROBH,24052.0
WOLF,2866.909090909091
SHAN,64299.181818181816
KOUT,53993.181818181816
LAMB,59593.166666666664
AMAD,41873.818181818184
BINO,13046.0
LOLF,12082.727272727272
CABI,61146.666666666664
WMRD,29862.666666666668
MACR,58919.09090909091
JAIM,61461.63636363636
RE17,15925.545454545454
SOHA,5312.090909090909
1800,25291.285714285714
BKOK,29196.727272727272
SHW,22642.636363636364
LHAY,6124.272727272727
PIPE,2469.909090909091
GATE,571.75
SHIL,52990.181818181816
RE33,16716.545454545456
LA2,13343.454545454546
